,n_reviews,size,comfort,quality,star_rating,product_code
0,617.0,49.0,78.0,44.66,4.8,DD1503-101
1,147.0,61.0,75.0,50.78,4.5,DX9176-101
2,199.0,59.0,78.0,46.67,4.6,DH3158-107
3,2.0,,,,5.0,DZ7736-002
4,70.0,43.0,78.0,54.62,4.6,DZ2628-102
5,303.0,45.0,89.0,49.51,4.7,DV3950-601
6,34.0,42.0,74.0,63.18,4.4,DZ2537-603
7,707.0,47.0,66.0,38.94,4.6,CZ1055-100
8,168.0,54.0,66.0,40.2,4.6,DC4769-102
9,371.0,50.0,89.0,49.66,4.7,DV3854-100
10,0.0,,,,0.0,FV3635-171
11,293.0,59.0,75.0,47.4,4.6,DM7590-100
12,448.0,36.0,68.0,37.05,4.5,DH3161-100
13,188.0,29.0,86.0,47.2,4.5,DR2670-006
14,360.0,50.0,85.0,49.44,4.4,DR2660-001
15,1.0,50.0,50.0,50.0,1.0,FD3148-001
16,809.0,37.0,73.0,37.08,4.5,CD5432-101
17,13.0,,,,4.0,FB2208-100
18,28.0,45.0,93.0,71.0,4.6,FD2292-100
19,24.0,57.0,86.0,79.61,4.5,FB2348-700
20,71.0,48.0,89.0,52.24,4.3,DR9761-800
21,1.0,50.0,100.0,83.33,5.0,FQ8886-100
22,34.0,40.0,87.0,55.08,4.4,DZ2794-700
23,31.0,58.0,93.0,78.29,4.5,FD2196-100
24,21.0,34.0,77.0,46.52,4.4,DD9682-102
25,21.0,45.0,95.0,59.37,5.0,FD0736-101
26,56.0,44.0,78.0,71.02,4.8,FB9927-200
27,0.0,,,,0.0,FV3634-181
28,24.0,46.0,96.0,79.28,4.8,FB8502-100
29,2.0,50.0,75.0,75.0,5.0,FB8455-001
30,6.0,50.0,59.0,69.67,5.0,FQ8876-618
31,126.0,40.0,88.0,44.78,4.7,DM9922-002
32,518.0,52.0,88.0,47.89,4.8,DD1869-103
33,35.0,50.0,75.0,44.52,4.0,DO7626-001
34,136.0,47.0,96.0,50.61,4.7,DV4023-001
35,227.0,46.0,91.0,49.04,4.5,DV1238-001
36,33.0,52.0,85.0,70.92,4.6,DX6482-002
37,0.0,,,,0.0,FB7147-001
38,0.0,,,,0.0,FB7156-001
39,216.0,48.0,52.0,34.72,4.3,DM0113-102
40,622.0,39.0,90.0,44.55,4.7,DH9523-100
41,315.0,44.0,92.0,47.77,4.7,DJ6159-002
42,28.0,41.0,97.0,78.14,4.6,FB2197-600
43,1855.0,66.0,81.0,49.47,4.8,DD8959-100
44,899.0,54.0,88.0,71.0,4.8,CI0919-100
45,143.0,45.0,89.0,48.63,4.5,DJ7929-001
46,152.0,36.0,77.0,41.61,4.4,DN3559-003
47,333.0,,,,4.5,DJ0292-101
48,57.0,37.0,84.0,45.01,4.5,DN1791-100
49,104.0,48.0,88.0,46.29,4.6,DR2694-500
50,73.0,51.0,96.0,54.94,4.6,DR2689-601
51,22.0,38.0,76.0,66.79,4.1,FB2065-500
52,71.0,47.0,95.0,56.25,4.8,DH0625-500
53,73.0,37.0,86.0,53.33,4.5,DX4816-200
54,108.0,46.0,92.0,49.7,4.3,DQ8031-201
55,2.0,50.0,50.0,50.0,3.5,FB7154-001
56,46.0,44.0,63.0,38.57,4.3,DM0824-003
57,2.0,50.0,100.0,83.33,5.0,FQ8895-100
58,1.0,50.0,50.0,50.0,1.0,FV0952-100
59,26.0,58.0,88.0,79.44,4.6,FB8251-100
60,8.0,25.0,82.0,60.67,3.9,FJ6041-600
61,316.0,50.0,75.0,41.88,4.8,560845F-001
62,1613.0,,,,4.8,560846F-102
63,9.0,56.0,84.0,68.89,4.9,FD1448-664
64,411.0,52.0,80.0,47.08,4.8,DC0774-080
65,80.0,62.0,74.0,50.33,4.7,DH7004-600
66,988.0,50.0,80.0,44.65,4.9,BQ6472-414
67,617.0,49.0,78.0,44.66,4.8,DD1503-118
68,60.0,47.0,72.0,48.56,4.3,DN3253-061
69,106.0,35.0,77.0,43.94,4.4,CW6536-600
70,82.0,42.0,80.0,47.17,4.7,511417-136
71,29.0,45.0,84.0,55.64,4.8,DV0426-200
72,8.0,50.0,93.0,72.67,4.3,DZ2786-400
73,125.0,53.0,79.0,44.53,4.8,DC9486-100
74,22.0,53.0,80.0,77.67,5.0,FQ8893-397
75,54.0,,,,4.7,DV1302-100
76,2.0,50.0,100.0,83.33,5.0,FV3623-151
77,46.0,10.0,54.0,32.2,3.9,DV1143-800
78,527.0,32.0,89.0,41.91,4.6,CZ0596-010
79,491.0,28.0,78.0,36.62,4.4,DC3729-003
80,40.0,43.0,93.0,52.83,4.6,DX2931-400
81,35.0,50.0,83.0,62.43,4.3,DV1305-001
82,562.0,51.0,84.0,54.49,4.9,DQ8426-106
83,9.0,50.0,95.0,52.04,5.0,DZ7338-001
84,233.0,53.0,91.0,49.29,4.8,DJ9946-100
85,1973.0,48.0,85.0,44.59,4.6,BQ3207-002
86,543.0,,,,4.6,942837-001
87,39.0,50.0,85.0,50.98,4.9,DV0991-101
88,4.0,50.0,100.0,66.67,4.0,DH3159-100
89,19.0,50.0,100.0,57.02,5.0,FB9892-670
90,8.0,32.0,88.0,73.33,4.8,FD5130-200
91,1598.0,50.0,79.0,45.98,4.9,553558-136
92,2967.0,50.0,78.0,42.8,4.9,554724-136
93,830.0,50.0,80.0,48.31,4.9,DZ5485-105
94,36.0,50.0,88.0,56.19,4.8,FD6819-300
95,53.0,33.0,75.0,48.58,4.4,DQ4122-100
96,401.0,43.0,82.0,44.24,4.7,CZ4052-101
97,87.0,51.0,94.0,69.02,4.8,DV1307-100
98,49.0,54.0,82.0,61.66,4.9,DX4332-800
99,287.0,52.0,97.0,50.71,4.8,314870-011
100,40.0,,,,4.7,FN6622-201
101,1475.0,52.0,84.0,46.21,4.9,414571-171
102,9.0,50.0,84.0,78.0,4.8,FD1334-001
103,95.0,50.0,89.0,50.54,4.6,DB2889-501
104,533.0,49.0,86.0,51.32,4.9,CT8532-080
105,,,,,,FZ4653-900
106,830.0,50.0,80.0,48.31,4.9,DZ5485-042
107,17.0,50.0,59.0,40.25,3.3,FV0169-400
108,30.0,47.0,87.0,53.56,4.8,DO7189-100
109,675.0,53.0,77.0,69.01,4.8,CZ0790-161
110,99.0,41.0,81.0,57.84,4.7,FQ3381-002
111,48.0,55.0,88.0,52.53,4.7,DX8733-103
112,280.0,40.0,96.0,48.55,4.8,DM1123-100
113,469.0,46.0,83.0,44.56,4.7,DM0825-101
114,27.0,34.0,86.0,68.4,4.4,FB2238-001
115,191.0,42.0,93.0,52.85,4.8,DR8784-301
116,252.0,38.0,75.0,44.41,4.5,DR8785-002
117,13.0,50.0,88.0,74.21,4.8,DX4361-001
118,9.0,38.0,88.0,56.81,4.7,DV5475-300
119,30.0,17.0,90.0,37.89,4.9,CD4382-400
120,,,,,,DX5388-900
121,26.0,,,,4.8,DZ0489-101
122,30.0,17.0,90.0,37.89,4.9,CD4382-600
123,171.0,40.0,78.0,41.09,4.5,DD9304-602
124,6.0,50.0,100.0,83.33,5.0,FQ8732-010
125,2.0,50.0,75.0,75.0,4.0,FQ8971-600
