,index,URL,Exception,msg
0,27,https://us.puma.com/us/en/pd/rs-x-soft-womens-sneakers/393772?swatch=02&referrer-category=womens-shop-all-womens,<class 'selenium.common.exceptions.ElementClickInterceptedException'>,"element click intercepted: Element <button data-test-id=""read-all-reviews"" type=""button"" class=""group tw-19fr0v0 tw-ozwx86 flex-row after::absolute after::hidden after::pointer-events-none after::-left-1 after::-top-1 after::-right-1 after::-bottom-1 after::border-2 after::border-outline after::rounded-sm tw-10skrdm self-end"">...</button> is not clickable at point (1457, 58). Other element would receive the click: <div class=""relative"">...</div>
  (Session info: chrome=120.0.6099.72)"
1,62,https://us.puma.com/us/en/pd/puma-cali-court-leather-womens-sneakers/393802?swatch=01&referrer-category=womens-shop-all-womens,<class 'selenium.common.exceptions.ElementClickInterceptedException'>,"element click intercepted: Element <button data-test-id=""read-all-reviews"" type=""button"" class=""group tw-19fr0v0 tw-ozwx86 flex-row after::absolute after::hidden after::pointer-events-none after::-left-1 after::-top-1 after::-right-1 after::-bottom-1 after::border-2 after::border-outline after::rounded-sm tw-10skrdm self-end"">...</button> is not clickable at point (1457, 58). Other element would receive the click: <div class=""relative"">...</div>
  (Session info: chrome=120.0.6099.72)"
2,99,https://us.puma.com/us/en/pd/puma-180-prm-womens-sneakers/393764?swatch=02&referrer-category=womens-shop-all-womens,<class 'selenium.common.exceptions.ElementClickInterceptedException'>,"element click intercepted: Element <button data-test-id=""read-all-reviews"" type=""button"" class=""group tw-19fr0v0 tw-ozwx86 flex-row after::absolute after::hidden after::pointer-events-none after::-left-1 after::-top-1 after::-right-1 after::-bottom-1 after::border-2 after::border-outline after::rounded-sm tw-10skrdm self-end"">...</button> is not clickable at point (1457, 58). Other element would receive the click: <div class=""relative"">...</div>
  (Session info: chrome=120.0.6099.72)"
3,122,https://us.puma.com/us/en/pd/bmw-m-motorsport-rs-puls-womens-sneakers/307761?swatch=01&referrer-category=womens-shop-all-womens,<class 'selenium.common.exceptions.ElementClickInterceptedException'>,"element click intercepted: Element <button data-test-id=""read-all-reviews"" type=""button"" class=""group tw-19fr0v0 tw-ozwx86 flex-row after::absolute after::hidden after::pointer-events-none after::-left-1 after::-top-1 after::-right-1 after::-bottom-1 after::border-2 after::border-outline after::rounded-sm tw-10skrdm self-end"">...</button> is not clickable at point (1457, 58). Other element would receive the click: <div class=""relative"">...</div>
  (Session info: chrome=120.0.6099.72)"
4,124,https://us.puma.com/us/en/pd/seasons-fast-trac-nitro%E2%84%A2-2-womens-running-shoes/307685?swatch=03&referrer-category=womens-shop-all-womens,<class 'selenium.common.exceptions.ElementClickInterceptedException'>,"element click intercepted: Element <button data-test-id=""read-all-reviews"" type=""button"" class=""group tw-19fr0v0 tw-ozwx86 flex-row after::absolute after::hidden after::pointer-events-none after::-left-1 after::-top-1 after::-right-1 after::-bottom-1 after::border-2 after::border-outline after::rounded-sm tw-10skrdm self-end"">...</button> is not clickable at point (1457, 58). Other element would receive the click: <div class=""relative"">...</div>
  (Session info: chrome=120.0.6099.72)"
5,127,https://us.puma.com/us/en/pd/seasons-voyage-nitro%E2%84%A2-3-womens-running-shoes/377746?swatch=07&referrer-category=womens-shop-all-womens,<class 'selenium.common.exceptions.ElementClickInterceptedException'>,"element click intercepted: Element <button data-test-id=""read-all-reviews"" type=""button"" class=""group tw-19fr0v0 tw-ozwx86 flex-row after::absolute after::hidden after::pointer-events-none after::-left-1 after::-top-1 after::-right-1 after::-bottom-1 after::border-2 after::border-outline after::rounded-sm tw-10skrdm self-end"">...</button> is not clickable at point (1457, 58). Other element would receive the click: <div class=""relative"">...</div>
  (Session info: chrome=120.0.6099.72)"
6,141,https://us.puma.com/us/en/pd/fuse-2-0-womens-training-shoes/376169?swatch=01&referrer-category=womens-shop-all-womens,<class 'selenium.common.exceptions.ElementClickInterceptedException'>,"element click intercepted: Element <button data-test-id=""read-all-reviews"" type=""button"" class=""group tw-19fr0v0 tw-ozwx86 flex-row after::absolute after::hidden after::pointer-events-none after::-left-1 after::-top-1 after::-right-1 after::-bottom-1 after::border-2 after::border-outline after::rounded-sm tw-10skrdm self-end"">...</button> is not clickable at point (1457, 58). Other element would receive the click: <div class=""relative"">...</div>
  (Session info: chrome=120.0.6099.72)"
7,143,https://us.puma.com/us/en/pd/seasons-voyage-nitro%E2%84%A2-2-womens-running-shoes/376946?swatch=08&referrer-category=womens-shop-all-womens,<class 'selenium.common.exceptions.ElementClickInterceptedException'>,"element click intercepted: Element <button data-test-id=""read-all-reviews"" type=""button"" class=""group tw-19fr0v0 tw-ozwx86 flex-row after::absolute after::hidden after::pointer-events-none after::-left-1 after::-top-1 after::-right-1 after::-bottom-1 after::border-2 after::border-outline after::rounded-sm tw-10skrdm self-end"">...</button> is not clickable at point (1457, 58). Other element would receive the click: <div class=""relative"">...</div>
  (Session info: chrome=120.0.6099.72)"
0,162,https://us.puma.com/us/en/pd/defy-mid-womens-training-shoes/195027?swatch=02&referrer-category=womens-shop-all-womens,<class 'selenium.common.exceptions.ElementClickInterceptedException'>,"element click intercepted: Element <button data-test-id=""read-all-reviews"" type=""button"" class=""group tw-19fr0v0 tw-ozwx86 flex-row after::absolute after::hidden after::pointer-events-none after::-left-1 after::-top-1 after::-right-1 after::-bottom-1 after::border-2 after::border-outline after::rounded-sm tw-10skrdm self-end"">...</button> is not clickable at point (1457, 62). Other element would receive the click: <div class=""h-16 lg:h-20 flex items-center justify-between mx-auto overflow-y-visible max-w-screen-3xl mobile:px-4 tablet:px-6 desktop:px-8"" data-test-id=""main-nav-bar"">...</div>
  (Session info: chrome=120.0.6099.72)"
1,180,https://us.puma.com/us/en/pd/cali-dream-preppy-womens-sneakers/389876?swatch=02&referrer-category=womens-shop-all-womens,<class 'selenium.common.exceptions.ElementClickInterceptedException'>,"element click intercepted: Element <button data-test-id=""read-all-reviews"" type=""button"" class=""group tw-19fr0v0 tw-ozwx86 flex-row after::absolute after::hidden after::pointer-events-none after::-left-1 after::-top-1 after::-right-1 after::-bottom-1 after::border-2 after::border-outline after::rounded-sm tw-10skrdm self-end"">...</button> is not clickable at point (1457, 62). Other element would receive the click: <div class=""h-16 lg:h-20 flex items-center justify-between mx-auto overflow-y-visible max-w-screen-3xl mobile:px-4 tablet:px-6 desktop:px-8"" data-test-id=""main-nav-bar"">...</div>
  (Session info: chrome=120.0.6099.72)"
2,181,https://us.puma.com/us/en/pd/cali-dream-star-quality-womens-sneakers/387150?swatch=01&referrer-category=womens-shop-all-womens,<class 'selenium.common.exceptions.ElementClickInterceptedException'>,"element click intercepted: Element <button data-test-id=""read-all-reviews"" type=""button"" class=""group tw-19fr0v0 tw-ozwx86 flex-row after::absolute after::hidden after::pointer-events-none after::-left-1 after::-top-1 after::-right-1 after::-bottom-1 after::border-2 after::border-outline after::rounded-sm tw-10skrdm self-end"">...</button> is not clickable at point (1457, 58). Other element would receive the click: <div class=""relative"">...</div>
  (Session info: chrome=120.0.6099.72)"
3,188,https://us.puma.com/us/en/pd/slipstream-womens-sneakers/386270?swatch=15&referrer-category=womens-shop-all-womens,<class 'selenium.common.exceptions.ElementClickInterceptedException'>,"element click intercepted: Element <button data-test-id=""read-all-reviews"" type=""button"" class=""group tw-19fr0v0 tw-ozwx86 flex-row after::absolute after::hidden after::pointer-events-none after::-left-1 after::-top-1 after::-right-1 after::-bottom-1 after::border-2 after::border-outline after::rounded-sm tw-10skrdm self-end"">...</button> is not clickable at point (1457, 58). Other element would receive the click: <div class=""relative"">...</div>
  (Session info: chrome=120.0.6099.72)"
